id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Sunset Theory,r&b,romantic,0.61,96,0.78,0.72,0.44
12,Broken Compass,The Grey Wolves,metal,angry,0.97,180,0.22,0.55,0.04
13,Dust & Strings,Ella Ridgewood,country,melancholic,0.45,104,0.53,0.63,0.82
14,Last Train Home,Vera Ashton,blues,sad,0.38,88,0.32,0.44,0.91
15,Concrete Jungle,K-Flow,hip-hop,energetic,0.88,140,0.69,0.91,0.07
16,Moonlit Sonata,Clara Voss,classical,peaceful,0.20,52,0.74,0.18,0.98
17,Bassline District,Synthex,electronic,euphoric,0.92,128,0.85,0.95,0.03
18,Island Breeze,Coral Roots,reggae,uplifting,0.55,82,0.88,0.76,0.67
